MEC_CO_ENTIDADE,MEC_CO_UF,MEC_CO_MUNICIPIO,MEC_NO_ENTIDADE,MEC_NU_ANO_CENSO,MEC_TP_SITUACAO_FUNCIONAMENTO,MEC_TP_DEPENDENCIA,MEC_TP_LOCALIZACAO,MEC_TP_LOCALIZACAO_DIFERENCIADA,MEC_TP_CATEGORIA_ESCOLA_PRIVADA,MEC_DT_ANO_LETIVO_INICIO,MEC_DT_ANO_LETIVO_TERMINO,MEC_IN_REGULAR,MEC_IN_EJA,MEC_IN_PROFISSIONALIZANTE,MEC_IN_ESPECIAL_EXCLUSIVA,MEC_IN_COMUM_CRECHE,MEC_IN_COMUM_PRE,MEC_IN_COMUM_FUND_AI,MEC_IN_COMUM_FUND_AF,MEC_IN_COMUM_MEDIO_MEDIO,MEC_IN_COMUM_MEDIO_INTEGRADO,MEC_IN_COMUM_MEDIO_NORMAL
52079228,52,5208608,MOVIMENTO PRO INF E JUVENT DE GOIANESIA,2018,1,4,1,0,4,17/01/2018,14/12/2018,1,0,0,0,1,0,0,0,0,0,0
52079252,52,5215231,ESCOLA MUNICIPAL ULISSES GUIMARAES,2018,1,3,1,0,,19/02/2018,20/12/2018,1,0,0,0,1,1,0,0,0,0,0
52079260,52,5215231,ESCOLA MUNICIPAL PAULO FREIRE,2018,1,3,1,0,,19/02/2018,20/12/2018,1,0,0,0,0,0,1,0,0,0,0
52079279,52,5204508,CENTRO DE EDUCACAO INFANTIL O PEQUENO PRINCIPE,2018,1,4,1,0,4,22/01/2018,14/12/2018,1,0,0,0,1,0,0,0,0,0,0
52079287,52,5204508,CENTRO MUNICIPAL DE EDUCACAO INFANTIL SAO MIGUEL ARCANJO,2018,1,3,1,0,,22/01/2018,14/12/2018,1,0,0,0,1,1,0,0,0,0,0
52079317,52,5205497,ESCOLA MUNICIPAL PAULO FREIRE,2018,1,3,1,0,,05/02/2018,22/12/2018,1,0,0,0,0,0,1,1,0,0,0
52079325,52,5201108,CENTRO MUNICIPAL DE EDUCACAO INFANTIL DONA IRIS ARAUJO REZENDE DE MACHADO,2018,1,3,1,0,,24/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52079333,52,5201108,CENTRO MUNICIPAL DE EDUCACAO DESEMBARGADOR AIR BORGES DE ALMEIDA,2018,1,3,1,0,,09/01/2018,20/12/2018,1,0,0,0,0,0,1,0,0,0,0
52079341,52,5201108,CENTRO MUNICIPAL DE EDUCACAO INFANTIL MARIA CAPUZZO CREMONEZ,2018,1,3,1,0,,24/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52079350,52,5201108,CENTRO MUNICIPAL DE EDUCACAO INFANTIL DONA JANDIRA BRETAS,2018,1,3,1,0,,24/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
52079368,52,5201108,CENTRO MUNICIPAL DE EDUCACAO INFANTIL JOSE EPAMINONDAS RORIZ,2018,1,3,1,0,,24/01/2018,21/12/2018,1,0,0,0,1,1,0,0,0,0,0
